MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,target
1.911485824,37,0.434966057,1.828182885,6.514573265,0,4.794537184,0.624412929,0.67758527,0.839738341,1
1.911485824,570,0.366367315,1.828182885,6.514573265,0,9.740498951,0.62289545,0.670755725,0.878123687,1
1.911485824,677,0.440136564,1.828182885,10.90292493,1,9.184952232,0.642843994,0.730527157,0.71482036,1
1.911485824,609,0.471647004,1.828182885,10.90292493,1,9.184952232,0.643440027,0.729395286,0.728962517,1
1.911485824,705,0.435364379,1.828182885,10.90292493,1,13.97948942,0.632944057,0.71790402,0.752570448,1
1.911485824,675,0.469323614,1.828182885,10.90292493,1,9.184952232,0.63712338,0.73686642,0.759616104,1
1.911485824,631,0.475135457,1.828182885,10.90292493,1,9.184952232,0.647626612,0.753200676,0.726268534,1
1.911485824,699,0.443286752,1.828182885,10.90292493,1,9.184952232,0.647109704,0.755678425,0.711115655,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,1
1.911485824,735,0.430071929,1.828182885,10.90292493,2,9.184952232,0.637118159,0.724942615,0.711873657,1
1.911485824,747.1111111,0.442395424,1.828182885,10.90292493,2,9.184952232,0.643755045,0.729271341,0.727721931,1
1.911485824,777,0.434702437,1.828182885,10.90292493,1,17.96578233,0.630287078,0.672907978,0.675009237,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,1
1.911485824,775,0.495340525,1.828182885,10.90292493,1,13.57536728,0.644063298,0.757051052,0.726842126,1
1.911485824,682,0.485119358,1.828182885,10.90292493,1,9.184952232,0.632672656,0.591767324,0.756013814,1
1.911485824,675.6666667,0.423090031,1.828182885,10.90292493,1,17.60274922,0.588384374,0.71846422,0.658253227,1
1.911485824,777,0.464243217,1.828182885,10.90292493,1,13.57536728,0.648689886,0.750617031,0.689623466,1
1.911485824,616.3333333,0.47030378,1.828182885,10.90292493,1,9.184952232,0.647672341,0.69089021,0.732576273,1
1.911485824,675.8888889,0.456563082,1.828182885,10.90292493,1,9.184952232,0.623064353,0.726190668,0.772440575,1
1.911485824,699,0.457394109,1.828182885,22.16030442,0,9.184952232,0.622603277,0.699906757,0.723864702,1
1.911485824,635.6666667,0.461099759,1.828182885,21.47400012,0,14.16893075,0.624786368,0.690236472,0.732257081,1
1.911485824,724,0.474170878,1.828182885,10.90292493,1,9.184952232,0.629998844,0.691239434,0.78269474,1
1.911485824,684,0.459835321,1.828182885,10.90292493,1,9.184952232,0.638746617,0.581278763,0.711115655,1
1.911485824,784,0.481595844,1.828182885,10.90292493,1,13.57536728,0.64507341,0.599555444,0.685310027,1
1.911485824,782,0.508242427,1.828182885,10.90292493,1,13.57536728,0.640288107,0.610178997,0.722697891,1
1.911485824,731,0.449638239,1.828182885,22.29078092,0,9.184952232,0.627773885,0.702139048,0.7223886,1
3.54166336,194.6666667,0.429809598,3.54166336,10.90292493,1,9.740498951,0.639131853,0.710599331,0.811693865,1
3.240587444,916.6666667,0.384885504,2.957688315,6.514573265,1,14.57305289,0.663202834,0.467636302,0.759932255,1
3.050170777,1030.666667,0.374952412,2.751204495,6.514573265,1,14.57305289,0.661664195,0.451500928,0.726059853,1
3.285442886,944.6666667,0.393491772,3.067436963,6.514573265,1,14.57305289,0.673128582,0.573886603,0.752235675,1
3.193022251,674.6666667,0.388096272,2.935931496,6.514573265,1,14.57305289,0.664181197,0.53904025,0.766623413,1
3.218830625,726.3333333,0.388096272,2.945319726,6.514573265,1,14.57305289,0.664181197,0.53904025,0.766623413,1
3.050170777,951,0.410201542,2.657919796,6.514573265,1,14.57305289,0.647396918,0.505645151,0.809115601,0
3.188504111,930,0.371300011,2.879169796,6.514573265,1,14.57305289,0.650338124,0.530717194,0.805695812,0
3.303780314,1118,0.381523087,3.039916678,6.514573265,2,14.57305289,0.679495835,0.488437226,0.794286581,0
3.18467758,1066,0.368334317,2.732902004,6.514573265,1,14.57305289,0.667745609,0.503160591,0.755868757,1
3.129671202,1126.666667,0.371367347,2.420402004,6.514573265,1,27.71294474,0.589243916,0.491857501,0.675316873,1
3.18467758,1066,0.368334317,2.732902004,6.514573265,1,14.57305289,0.667745609,0.503160591,0.755868757,0
3.001281888,1044,0.385252541,2.60875313,6.514573265,1,14.57305289,0.654652294,0.484237843,0.775113438,1
3.056837444,1024,0.383412577,2.68875313,6.514573265,1,14.57305289,0.652545462,0.476993542,0.769126358,1
3.032987752,877,0.398002745,2.629140113,6.514573265,1,9.589074368,0.654825425,0.465560667,0.816774597,1
3.220667793,880.6666667,0.378895545,2.920310748,6.514573265,1,14.57305289,0.667808509,0.458736543,0.763427253,1
3.265523235,900.6666667,0.387848095,3.041977415,6.514573265,1,14.57305289,0.678917969,0.567556961,0.754442361,1
3.228133358,890.6666667,0.377080532,2.934925969,6.514573265,1,14.57305289,0.665277655,0.45114401,0.762027374,1
3.237393,1060,0.36792087,2.94875313,6.514573265,1,19.55703141,0.673248159,0.453271049,0.79437376,1
3.240374859,947,0.371213553,2.953058685,6.514573265,1,14.57305289,0.668904143,0.518541318,0.793128108,0
3.237393,1060,0.36792087,2.94875313,6.514573265,1,19.55703141,0.673248159,0.453271049,0.79437376,0
3.101998851,446.6666667,0.376753023,2.896414094,6.514573265,1,14.57305289,0.65890473,0.591477818,0.776945539,0
