BCUTv-1l,BCUTi-1h,BCUTp-1l,BCUTZ-1l,BCUTd-1h,BCUTare-1l,BCUTs-1l,BCUTse-1l,BCUTpe-1l,PEOE_VSA9,target
14.70059975,13.64401431,0.741459479,5.674208102,3.248598756,2.173549434,1.18615406,2.419431935,2.223406737,27.24729867,1
14.69995595,14.638448,0.740330572,5.694099105,4.043834728,2.188506903,0.298936103,2.440071128,2.242350731,43.28275821,1
14.70177582,14.55774558,0.744056472,5.747381551,3.226905925,2.237298751,1.193350301,2.47877298,2.284098418,12.71084835,1
14.70177809,14.54943893,0.751227054,5.688992703,4.017090594,2.188904688,0.407002525,2.434859437,2.238876639,23.94050165,1
14.70177809,14.5494393,0.751227007,5.688992684,4.017090462,2.18890472,1.197112222,2.434859403,2.238876639,18.2497736,1
5.571904301,14.63890703,0.629346119,0.991873185,4.021618895,2.09121413,0.960495203,2.425611923,2.103996846,40.14019147,1
14.7017758,14.5577471,0.74402615,5.748823316,3.227718648,2.238174346,1.163978377,2.479441792,2.284825198,6.606881965,0
14.70213864,14.54952587,0.761020332,5.655088534,4.043950707,2.1500291,0.298915493,2.398667023,2.201403537,10.41218419,1
14.70175211,14.55788717,0.744041794,5.750252347,3.227315615,2.237844118,1.193350733,2.4787935,2.284161819,12.71084835,0
14.70177586,14.82535418,0.74409778,5.748823725,3.218720818,2.23817821,1.198597145,2.479447715,2.28483062,12.14580722,1
14.70610212,14.56613387,0.777846029,5.761370599,3.275183666,2.24593218,1.163973913,2.484022555,2.291034802,12.93420204,0
14.70181235,14.56435561,0.775046395,5.761461436,4.037758099,1.993511175,0.290755918,2.426716572,2.113873879,25.58292483,0
14.70048677,14.55678038,0.741139289,5.74955601,3.188120645,2.245499593,1.152280745,2.490521447,2.294517262,18.69056362,1
14.70081487,14.55791585,0.743940155,5.651125833,4.038180417,2.150865949,0.299253825,2.396777734,2.200803081,19.052953,1
15.58924311,14.54826402,1.023534968,5.673617078,4.017048331,2.169448177,1.19709479,2.414581556,2.219015248,5.516700718,1
14.70373543,14.56612903,0.777210824,5.76137914,4.027555998,1.994744587,0.292623285,2.427408897,2.115261576,25.58292483,1
14.7018586,14.55880828,0.746114532,5.774096137,4.027550756,1.994745308,0.292624287,2.427409301,2.115262172,19.25560476,1
14.70393956,14.56611976,0.777327161,5.76138673,4.027553354,1.994744788,0.292623987,2.427410448,2.115261734,12.93420204,0
14.70388269,14.56430908,0.775485916,5.76146169,4.028501828,1.995964553,0.291634106,2.428653227,2.116578251,19.47895845,0
14.70177612,14.54482538,0.750989676,5.700840302,4.028121341,2.191945114,0.626639271,2.44332301,2.24487098,23.60263852,1
13.30278147,17.43070558,0.526962276,5.68876572,4.022243246,2.188501326,1.217163979,2.434360077,2.238431393,18.77721542,1
13.3027807,17.43070663,0.526958785,5.68876572,4.022245888,2.188501326,1.217162041,2.434360076,2.238431392,18.77721542,1
13.30344694,17.4277399,0.536286261,5.749550143,4.022972458,2.245492765,1.131406807,2.490514266,2.294510194,12.08368166,1
14.70068206,14.55675788,0.741519012,5.785101388,3.177136154,2.28363822,1.145197756,2.528843242,2.333134632,5.917906046,1
15.585581,14.55622583,0.99413843,5.657103524,3.317651852,2.15457569,1.257357025,2.399653577,2.204037884,16.59031121,0
14.70201897,14.54030889,0.751519671,5.73350707,4.028580823,2.233043276,1.108575955,2.47895347,2.282935396,31.02274752,0
14.70373615,14.56431482,0.777211473,5.76146161,4.027554392,1.994744747,0.292623532,2.427408967,2.115261705,25.58292483,0
14.70549059,14.57175735,0.774115002,5.689862049,3.184972912,2.18786663,0.629456487,2.433570699,2.237573574,46.34105094,1
14.70385355,14.56431432,0.775193051,5.761468525,4.029447425,1.997195373,0.290645177,2.429984511,2.117919515,26.14796597,0
14.70389297,14.56431061,0.776239325,5.761468854,4.028500376,1.995969399,0.291634009,2.428697598,2.116589894,19.541084,0
14.70042674,14.55277922,0.740319057,5.694101273,3.14104171,2.194084304,0.609493205,2.440075436,2.244078828,40.84775849,1
14.70042683,14.5527708,0.740320811,5.694101796,3.140725321,2.194085239,0.609493205,2.440076674,2.244079942,40.84775849,1
14.69996039,14.54359343,0.740362757,5.694102129,4.048490495,2.187697528,0.297585895,2.440076893,2.241359659,24.02715345,1
14.69996478,14.54358806,0.740394988,5.694102166,4.048484724,2.187697558,0.297587097,2.440076934,2.241359663,18.1092474,1
14.70042692,14.55277354,0.740385416,5.694101867,3.164191163,2.194085452,0.609493205,2.440077,2.244080223,40.84775849,1
14.70253372,14.56539338,0.748757802,5.706301325,3.269512812,2.204722817,1.423920047,2.449776959,2.254140957,12.80683685,0
14.70188169,14.56540901,0.74870246,5.758916732,4.027555327,1.994744837,0.29262358,2.427408734,2.115261785,18.97604287,0
13.30411554,17.42477569,0.545842389,5.694335732,4.023236644,2.193853336,1.189629098,2.439599103,2.243732872,11.10237674,1
14.70062826,13.64394674,0.741456404,5.679715866,3.258131955,2.178678595,1.143745408,2.424494157,2.228454631,39.95814702,0
14.70062826,13.64394674,0.741456404,5.679715866,3.258131955,2.178678595,1.143745408,2.424494157,2.228454631,39.95814702,1
14.7018578,14.56542934,0.748688893,5.758956688,4.028505692,1.99546516,0.291604099,2.426182576,2.115765072,31.80696042,0
13.30411848,17.42477298,0.545845551,5.666647401,3.296306344,2.162301553,1.19509736,2.406749333,2.211125865,30.29785437,1
14.70053715,13.64438382,0.741445048,5.679869634,3.258608436,2.178950773,1.14351941,2.424786956,2.22875183,39.95814702,1
14.70226921,14.56542114,0.748720632,5.758910814,3.27691801,2.240941068,1.163972645,2.479130079,2.285687343,12.93420204,0
14.69976962,13.64703308,0.740390231,5.679869683,3.258802977,2.178950632,1.14351814,2.424786735,2.22875159,33.85418063,1
14.69976962,13.64703308,0.740390231,5.679869683,3.258802977,2.178950632,1.14351814,2.424786735,2.22875159,33.85418063,1
14.7081603,14.54841218,0.78809898,5.673660509,3.240035014,2.169524368,1.257386422,2.414684514,2.219108506,12.12358268,0
14.70028828,14.56571031,0.741310799,5.655503083,4.029508963,2.007362365,0.294360001,2.401040746,2.129574398,26.14796597,0
14.70028829,14.56570832,0.741307637,5.655503083,4.0295081,2.007362945,0.294360518,2.401040747,2.129574958,26.14796597,0
14.70028822,14.56571237,0.741255355,5.655503083,4.029677227,2.007361757,0.294359692,2.401040746,2.129573837,19.541084,0
14.70028825,14.56571034,0.7412819,5.655503083,4.029509667,2.007362383,0.294360086,2.401040747,2.129574441,25.64505039,0
14.70028833,14.56570191,0.741284055,5.700279272,4.029501238,2.007365634,0.294361666,2.443079324,2.129588525,25.64505039,0
13.30411512,17.42477557,0.545839973,5.694935585,4.029507516,2.007363806,0.294360108,2.440842118,2.129586874,19.541084,0
14.70028827,14.56571035,0.741308322,5.694935587,4.029505792,2.007363882,0.294360266,2.440842557,2.129586878,19.541084,0
