MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,SaaN,MINaaN,AMID_h,SaasN,AATS4pe,PEOE_VSA9,GATS7c,SssNH,MATS1Z,SlogP_VSA10,ATS7Z,BCUTs-1l,naRing,MAXsssN,AATS1i,EState_VSA2,FilterItLogS,SRW05,AATS3v,MATS2pe,n5HRing,SRW07,ATS8are,nAromAtom,MATS1m,CIC2,MINssO,ATSC4s,n5Ring,BCUTp-1h,AATSC4s,AATSC8pe,AATSC1are,ATS8s,GATS3dv,AATSC2c,BCUTi-1h,ATSC0se,nBondsM,GATS1are,GATS8p,MINsssCH,GGI4,PEOE_VSA12,MINdssC,IC3,GATS3s,SaaCH,piPC7,JGI5,target
1.911485824,37,0.434966057,1.828182885,6.514573265,0,4.794537184,0.624412929,0.67758527,0.839738341,5.343551485,2.598833288,0.718895138,1.367453704,6.5964,12.71084835,0.613014289,3.402064397,0.677283381,7.323169215,503,1.240004694,1,0.861194607,151.3827337,24.49801642,0.860631659,2.397895273,165.5384731,0.473222483,1,4.59511985,173.584,6,0.686925386,0.102082816,5.463247354,0.57531236,1,1.937685537,0.451270333,0.321811011,0.85397562,94.5,1.068686089,0.643183739,14.55774099,0.070936089,8,0.807475435,0.860927283,0.682316581,1.094444444,6.272634177,0.659572406,4.548394346,0.817486115,1.491654384,5.188083886,0.033814815,1
1.911485824,570,0.366367315,1.828182885,6.514573265,0,9.740498951,0.62289545,0.670755725,0.878123687,5.343551485,2.598833288,0.514378427,0.659301291,6.507218,39.95814702,1.011121896,3.402064397,0.723685626,7.323169215,2746,1.143745165,2,0.861194607,144.3473482,31.20494165,0.770486267,3.044522438,233.0672933,0.235573745,2,5.351858133,844.64,12,0.732470085,0.245671496,5.363460018,0.540050717,2,2.006345207,0.435923635,0.406846089,0.883737519,458.8611111,0.916432156,0.454254441,13.64428687,0.126020647,13,0.805163028,1.066782987,0.582677897,2.985555556,12.54245414,0.582195683,4.853533949,0.900499632,7.309904337,6.905064161,0.02598659,1
1.911485824,677,0.440136564,1.828182885,10.90292493,1,9.184952232,0.642843994,0.730527157,0.71482036,5.343551485,2.598833288,0.504568853,1.577591522,6.451618919,30.29785437,1.074472328,3.402064397,0.666149952,10.07780132,3786,1.195097339,3,1.560705386,145.8672399,40.82509838,0.710688877,2.397895273,212.573581,0.388025502,1,4.59511985,1192.481,16,0.675299081,0.128572681,5.575123431,0.585506725,1,2.208021696,0.453148176,0.259052388,0.881127984,745.994856,0.900575299,0.530809017,17.42477438,0.14520717,20,0.689599574,0.741581862,0.65846772,3.174444444,11.33597012,0.336007508,5.52598839,0.762267708,7.300454626,7.400525124,0.033007246,1
1.911485824,609,0.471647004,1.828182885,10.90292493,1,9.184952232,0.643440027,0.729395286,0.728962517,5.343551485,2.598833288,0.469299814,1.613691155,6.318814136,30.29785437,1.115165127,3.402064397,0.670909583,10.07780132,3684,1.195097337,3,2.157927609,145.9691895,29.35446716,0.70690782,2.397895273,204.5594659,0.355891037,1,4.442651256,1196.981,16,0.679907485,0.170651915,5.612181044,0.615929476,1,2.208016512,0.462585001,0.263959318,0.886659447,726.3004115,0.850636593,0.516287073,17.42477408,0.133253311,19,0.706945728,0.757799195,0.666070706,3.174444444,5.428790392,0.343625454,5.404020445,0.66690836,7.86842134,7.373119255,0.031919569,1
1.911485824,705,0.435364379,1.828182885,10.90292493,1,13.97948942,0.632944057,0.71790402,0.752570448,5.343551485,2.598833288,0.558337757,1.563702634,6.522393855,36.84261077,0.977899783,3.402064397,0.667020385,14.87233851,3762,1.195097341,3,1.338483164,146.4518964,41.52480062,0.726707039,2.397895273,220.8918118,0.407826985,1,4.59511985,1149.081,16,0.676127913,0.139243474,4.960302262,0.579953697,1,2.208014076,0.451425367,0.257128635,0.873310902,729.994856,0.866947211,0.552602325,17.42477449,0.156108446,20,0.715485515,0.775315016,0.655873849,3.174444444,5.428790392,0.333251844,5.496888455,0.716452916,7.083928948,7.400525124,0.033007246,1
1.911485824,675,0.469323614,1.828182885,10.90292493,1,9.184952232,0.63712338,0.73686642,0.759616104,5.343551485,2.598833288,0.511521734,1.604815415,6.332579082,43.5116183,1.068389241,3.402064397,0.674152418,10.07780132,3916,1.195097335,3,2.064177609,146.4538054,29.35446716,0.715155325,2.010426078,210.814492,0.298494885,0,3.689805535,1235.481,16,0.682965282,0.185173438,5.404757635,0.614787997,0,2.208017015,0.461887186,0.270729507,0.883753034,767.1337449,0.90762838,0.499445969,17.42477437,0.146874266,19,0.726377132,0.757563211,0.663647774,3.115555556,5.428790392,0.341447401,5.37557184,0.702940076,7.750038251,7.376879616,0.03270934,1
1.911485824,631,0.475135457,1.828182885,10.90292493,1,9.184952232,0.647626612,0.753200676,0.726268534,5.343551485,2.598833288,0.457346609,1.616649735,6.267048544,30.29785437,1.107035336,3.402064397,0.672438536,10.07780132,3886,1.195097333,3,2.189177609,145.9015768,29.35446716,0.699137157,2.010426078,201.725213,0.360523233,0,3.689805535,1258.933,16,0.681352831,0.185822245,5.628709969,0.621384843,0,2.208024154,0.463182766,0.266041019,0.889196201,752.8251029,0.830598762,0.516439622,17.42477426,0.134659696,19,0.706266727,0.842682276,0.665884326,3.115555556,5.428790392,0.343823459,5.409036594,0.650017236,7.90788237,7.376879616,0.03270934,1
1.911485824,699,0.443286752,1.828182885,10.90292493,1,9.184952232,0.647109704,0.755678425,0.711115655,5.343551485,2.598833288,0.49200031,1.580550102,6.408140704,30.29785437,1.066169973,3.402064397,0.667968234,10.07780132,3988,1.195097334,3,1.591955386,145.8029826,40.82509838,0.702930524,2.010426078,209.1409274,0.392779643,0,3.689805535,1254.433,16,0.677025306,0.141214236,5.591652356,0.589814769,0,2.20802937,0.454153047,0.261036149,0.884132447,772.5195473,0.876989978,0.529637629,17.42477456,0.14692993,20,0.6877388,0.828216185,0.658281341,3.226666667,11.33597012,0.336205513,5.583570746,0.740775439,7.339915655,7.401746242,0.033744131,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,5.343551485,2.598833288,0.50442655,1.591179923,6.330809645,36.40182075,1.043418619,3.402064397,0.659537199,10.07780132,3901,1.195097333,3,1.926446127,146.5325591,34.91791865,0.731325523,2.397895273,205.6373395,0.335775894,1,4.59511985,1228.507,16,0.669232177,0.143321911,5.593186553,0.607722308,1,2.208019792,0.459666813,0.270837154,0.87196148,788.5349794,0.881390568,0.511046105,17.42477437,0.146874266,19,0.749912029,0.797003069,0.661068239,3.334444444,5.428790392,0.338706968,5.584527063,0.753298657,7.57077691,7.382960202,0.031702899,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,5.343551485,2.598833288,0.50442655,1.591179923,6.330809645,36.40182075,1.043418619,3.402064397,0.659537199,10.07780132,3901,1.195097333,3,1.926446127,146.5325591,34.91791865,0.731325523,2.397895273,205.6373395,0.335775894,1,4.59511985,1228.507,16,0.669232177,0.143321911,5.593186553,0.607722308,1,2.208019792,0.459666813,0.270837154,0.87196148,788.5349794,0.881390568,0.511046105,17.42477437,0.146874266,19,0.749912029,0.797003069,0.661068239,3.334444444,5.428790392,0.338706968,5.584527063,0.753298657,7.57077691,7.382960202,0.031702899,1
1.911485824,735,0.430071929,1.828182885,10.90292493,2,9.184952232,0.637118159,0.724942615,0.711873657,5.343551485,2.598833288,0.546862756,1.578815717,6.455440722,35.98524064,1.079960342,3.402064397,0.672710647,10.07780132,4025,1.195097339,3,1.70190909,147.4314127,40.82509838,0.727676097,2.397895273,217.2069882,0.375496409,1,4.727387819,1256.28,16,0.681394845,0.133268974,5.590415918,0.573804743,1,2.208021656,0.44932951,0.26952759,0.893263976,824.3281893,0.976411673,0.512766686,17.42477478,0.148811365,20,0.683748697,0.717852264,0.657891978,3.334444444,11.33597012,0.335791864,5.54340934,0.773742153,7.375809676,7.40623627,0.032766041,1
