MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,SaaN,MINaaN,AMID_h,SaasN,AATS4pe,PEOE_VSA9,GATS7c,SssNH,MATS1Z,SlogP_VSA10,ATS7Z,BCUTs-1l,naRing,MAXsssN,AATS1i,EState_VSA2,FilterItLogS,SRW05,AATS3v,MATS2pe,n5HRing,SRW07,ATS8are,nAromAtom,MATS1m,CIC2,MINssO,ATSC4s,n5Ring,BCUTp-1h,AATSC4s,AATSC8pe,AATSC1are,ATS8s,GATS3dv,AATSC2c,BCUTi-1h,ATSC0se,nBondsM,GATS1are,GATS8p,MINsssCH,GGI4,PEOE_VSA12,MINdssC,IC3,GATS3s,SaaCH,piPC7,JGI5,MATS2i,NsOH,MATS2se,SlogP_VSA5,ATSC3p,piPC3,AATSC2i,C3SP2,nC,ATS7s,ATS4i,BCUTp-1l,ATS6i,SsssN,EState_VSA10,Sp,ATSC4d,AATS4v,ATS7v,AXp-5d,AXp-7d,MID_C,nBondsA,piPC4,VR1_Dt,MATS4d,BCUTare-1l,MATS5se,AATS8i,GATS2dv,ATSC1d,piPC6,TIC5,NsssCH,GATS8v,MATS1se,SMR_VSA1,ATS6d,AATS1p,AATS4i,target
1.911485824,37,0.434966057,1.828182885,6.514573265,0,4.794537184,0.624412929,0.67758527,0.839738341,5.343551485,2.598833288,0.718895138,1.367453704,6.5964,12.71084835,0.613014289,3.402064397,0.677283381,7.323169215,503,1.240004694,1,0.861194607,151.3827337,24.49801642,0.860631659,2.397895273,165.5384731,0.473222483,1,4.59511985,173.584,6,0.686925386,0.102082816,5.463247354,0.57531236,1,1.937685537,0.451270333,0.321811011,0.85397562,94.5,1.068686089,0.643183739,14.55774099,0.070936089,8,0.807475435,0.860927283,0.682316581,1.094444444,6.272634177,0.659572406,4.548394346,0.817486115,1.491654384,5.188083886,0.033814815,0.647413016,1,0.444900501,24.63299591,0.308460231,4.266194819,0.456355592,1,10,170.3333333,12092.96856,0.744079888,8876.039478,1.118334226,9.589074368,18.82820479,0.625417557,149.2670428,5077.51519,0.074956708,0.031714052,20.42882428,6,4.754667197,72.2771819,0.577694017,2.238180445,0.477211296,173.3649898,0.818724849,0.202881567,5.394479456,136.4518304,2,0.888627941,0.583145622,9.843390349,114,1.614024903,170.3235008,1
1.911485824,570,0.366367315,1.828182885,6.514573265,0,9.740498951,0.62289545,0.670755725,0.878123687,5.343551485,2.598833288,0.514378427,0.659301291,6.507218,39.95814702,1.011121896,3.402064397,0.723685626,7.323169215,2746,1.143745165,2,0.861194607,144.3473482,31.20494165,0.770486267,3.044522438,233.0672933,0.235573745,2,5.351858133,844.64,12,0.732470085,0.245671496,5.363460018,0.540050717,2,2.006345207,0.435923635,0.406846089,0.883737519,458.8611111,0.916432156,0.454254441,13.64428687,0.126020647,13,0.805163028,1.066782987,0.582677897,2.985555556,12.54245414,0.582195683,4.853533949,0.900499632,7.309904337,6.905064161,0.02598659,0.860682649,1,0.23524783,28.71222691,0.3178956,4.959342,0.562240974,3,22,534.5555556,22947.03634,0.741445939,25093.99315,1.118334226,9.901064579,34.62601557,0.509046977,207.2199392,25331.8627,0.061431755,0.023055889,46.8654923,12,5.547128665,191.713392,0.505082258,2.178923206,0.465142034,161.5992477,0.991589464,0.498658994,6.478029496,278.1582028,4,1.06528266,0.619972857,38.3222423,494,1.757999259,152.9802423,1
1.911485824,677,0.440136564,1.828182885,10.90292493,1,9.184952232,0.642843994,0.730527157,0.71482036,5.343551485,2.598833288,0.504568853,1.577591522,6.451618919,30.29785437,1.074472328,3.402064397,0.666149952,10.07780132,3786,1.195097339,3,1.560705386,145.8672399,40.82509838,0.710688877,2.397895273,212.573581,0.388025502,1,4.59511985,1192.481,16,0.675299081,0.128572681,5.575123431,0.585506725,1,2.208021696,0.453148176,0.259052388,0.881127984,745.994856,0.900575299,0.530809017,17.42477438,0.14520717,20,0.689599574,0.741581862,0.65846772,3.174444444,11.33597012,0.336007508,5.52598839,0.762267708,7.300454626,7.400525124,0.033007246,0.56735708,2,0.357425412,54.21585013,0.315419478,5.248338997,0.41649937,4,27,877.4557613,29547.31224,0.545839445,32370.03025,1.560705386,24.59666634,44.01748743,0.716316042,195.5111459,34457.30728,0.063659065,0.027202055,56.01791221,17,5.873876805,254.9743603,0.720270167,2.162280161,0.482124025,167.449199,0.741043992,0.507905053,6.96578831,359.1892453,2,0.894598208,0.632081539,28.92940716,579,1.834005265,159.7152013,1
1.911485824,609,0.471647004,1.828182885,10.90292493,1,9.184952232,0.643440027,0.729395286,0.728962517,5.343551485,2.598833288,0.469299814,1.613691155,6.318814136,30.29785437,1.115165127,3.402064397,0.670909583,10.07780132,3684,1.195097337,3,2.157927609,145.9691895,29.35446716,0.70690782,2.397895273,204.5594659,0.355891037,1,4.442651256,1196.981,16,0.679907485,0.170651915,5.612181044,0.615929476,1,2.208016512,0.462585001,0.263959318,0.886659447,726.3004115,0.850636593,0.516287073,17.42477408,0.133253311,19,0.706945728,0.757799195,0.666070706,3.174444444,5.428790392,0.343625454,5.404020445,0.66690836,7.86842134,7.373119255,0.031919569,0.576807839,2,0.329571339,54.21585013,0.313396092,5.216293531,0.422526565,4,27,818.5113169,30591.71988,0.545842086,32851.91911,2.157927609,19.80212916,44.3358024,0.724431643,188.1867271,34296.99455,0.063647907,0.027325048,55.90974321,17,5.845354372,244.9656071,0.727882006,2.162280213,0.491154034,167.2910747,0.778349781,0.505964535,6.942398222,364.6653494,2,0.91199307,0.636222976,24.13486998,579,1.820291401,160.1660727,1
1.911485824,705,0.435364379,1.828182885,10.90292493,1,13.97948942,0.632944057,0.71790402,0.752570448,5.343551485,2.598833288,0.558337757,1.563702634,6.522393855,36.84261077,0.977899783,3.402064397,0.667020385,14.87233851,3762,1.195097341,3,1.338483164,146.4518964,41.52480062,0.726707039,2.397895273,220.8918118,0.407826985,1,4.59511985,1149.081,16,0.676127913,0.139243474,4.960302262,0.579953697,1,2.208014076,0.451425367,0.257128635,0.873310902,729.994856,0.866947211,0.552602325,17.42477449,0.156108446,20,0.715485515,0.775315016,0.655873849,3.174444444,5.428790392,0.333251844,5.496888455,0.716452916,7.083928948,7.400525124,0.033007246,0.627567013,2,0.389587732,41.37420689,0.310197942,5.248338997,0.45578725,4,26,891.7644033,28554.49448,0.545837289,31101.54183,1.338483164,24.59666634,42.69917246,0.707952542,198.73843,33483.70956,0.063659065,0.027202055,54.02846277,17,5.873876805,254.9743603,0.713854244,2.162280162,0.476846644,166.7189112,0.748454328,0.497219783,6.96578831,346.3039727,2,0.928622699,0.620295042,33.66627011,563,1.811911355,159.5223155,1
1.911485824,675,0.469323614,1.828182885,10.90292493,1,9.184952232,0.63712338,0.73686642,0.759616104,5.343551485,2.598833288,0.511521734,1.604815415,6.332579082,43.5116183,1.068389241,3.402064397,0.674152418,10.07780132,3916,1.195097335,3,2.064177609,146.4538054,29.35446716,0.715155325,2.010426078,210.814492,0.298494885,0,3.689805535,1235.481,16,0.682965282,0.185173438,5.404757635,0.614787997,0,2.208017015,0.461887186,0.270729507,0.883753034,767.1337449,0.90762838,0.499445969,17.42477437,0.146874266,19,0.726377132,0.757563211,0.663647774,3.115555556,5.428790392,0.341447401,5.37557184,0.702940076,7.750038251,7.376879616,0.03270934,0.597174782,2,0.275294492,41.37420689,0.333768524,5.221706264,0.435420257,4,27,834.3045267,31230.37298,0.545839711,33528.97432,2.064177609,19.80212916,44.81604192,0.686577993,188.9793487,35232.68781,0.06525969,0.027604885,55.99505552,17,5.848243504,255.2274167,0.694498779,2.16228018,0.499864423,167.7794372,0.88259714,0.503402435,6.944328259,360.1633133,2,0.916343751,0.630216164,28.87173293,595,1.792712666,159.3386377,1
1.911485824,631,0.475135457,1.828182885,10.90292493,1,9.184952232,0.647626612,0.753200676,0.726268534,5.343551485,2.598833288,0.457346609,1.616649735,6.267048544,30.29785437,1.107035336,3.402064397,0.672438536,10.07780132,3886,1.195097333,3,2.189177609,145.9015768,29.35446716,0.699137157,2.010426078,201.725213,0.360523233,0,3.689805535,1258.933,16,0.681352831,0.185822245,5.628709969,0.621384843,0,2.208024154,0.463182766,0.266041019,0.889196201,752.8251029,0.830598762,0.516439622,17.42477426,0.134659696,19,0.706266727,0.842682276,0.665884326,3.115555556,5.428790392,0.343823459,5.409036594,0.650017236,7.90788237,7.376879616,0.03270934,0.56763083,2,0.334907311,60.63667176,0.321190368,5.221706264,0.416556865,4,28,835.9465021,33078.44749,0.545841498,34024.2431,2.189177609,19.80212916,46.13435689,0.712017291,182.443408,36189.3057,0.06525969,0.027604885,57.99953514,17,5.848243504,255.2274167,0.714913715,2.162280059,0.497092539,166.8863531,0.77202277,0.51219911,6.944328259,373.223525,2,0.960404656,0.639761637,24.13486998,603,1.814112434,160.5749878,1
1.911485824,699,0.443286752,1.828182885,10.90292493,1,9.184952232,0.647109704,0.755678425,0.711115655,5.343551485,2.598833288,0.49200031,1.580550102,6.408140704,30.29785437,1.066169973,3.402064397,0.667968234,10.07780132,3988,1.195097334,3,1.591955386,145.8029826,40.82509838,0.702930524,2.010426078,209.1409274,0.392779643,0,3.689805535,1254.433,16,0.677025306,0.141214236,5.591652356,0.589814769,0,2.20802937,0.454153047,0.261036149,0.884132447,772.5195473,0.876989978,0.529637629,17.42477456,0.14692993,20,0.6877388,0.828216185,0.658281341,3.226666667,11.33597012,0.336205513,5.583570746,0.740775439,7.339915655,7.401746242,0.033744131,0.558398536,2,0.362863553,60.63667176,0.323425938,5.253581473,0.410694476,4,28,894.8909465,31881.13808,0.545838861,33542.35425,1.591955386,24.59666634,45.81604192,0.693011601,190.3642986,36349.61844,0.064746303,0.027291391,58.08111349,17,5.87668481,265.3144507,0.69892161,2.162279999,0.478268842,167.0320258,0.73286653,0.515303596,6.96955568,379.6828107,2,0.94445383,0.635805211,28.92940716,603,1.827159812,160.206724,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,5.343551485,2.598833288,0.50442655,1.591179923,6.330809645,36.40182075,1.043418619,3.402064397,0.659537199,10.07780132,3901,1.195097333,3,1.926446127,146.5325591,34.91791865,0.731325523,2.397895273,205.6373395,0.335775894,1,4.59511985,1228.507,16,0.669232177,0.143321911,5.593186553,0.607722308,1,2.208019792,0.459666813,0.270837154,0.87196148,788.5349794,0.881390568,0.511046105,17.42477437,0.146874266,19,0.749912029,0.797003069,0.661068239,3.334444444,5.428790392,0.338706968,5.584527063,0.753298657,7.57077691,7.382960202,0.031702899,0.575269287,3,0.310044592,47.79502851,0.309134696,5.227089857,0.421452737,4,27,844.4619342,31682.9082,0.545839422,33159.13901,1.926446127,24.90865655,44.81604192,0.737340839,185.581499,35169.69419,0.064277587,0.027181394,56.02490246,17,5.853996846,254.8157773,0.735325848,2.162280182,0.494356418,167.1937864,0.810192713,0.497623603,6.949616733,374.1633133,3,0.945135334,0.615612112,29.24139737,589,1.805152433,160.8269452,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,5.343551485,2.598833288,0.50442655,1.591179923,6.330809645,36.40182075,1.043418619,3.402064397,0.659537199,10.07780132,3901,1.195097333,3,1.926446127,146.5325591,34.91791865,0.731325523,2.397895273,205.6373395,0.335775894,1,4.59511985,1228.507,16,0.669232177,0.143321911,5.593186553,0.607722308,1,2.208019792,0.459666813,0.270837154,0.87196148,788.5349794,0.881390568,0.511046105,17.42477437,0.146874266,19,0.749912029,0.797003069,0.661068239,3.334444444,5.428790392,0.338706968,5.584527063,0.753298657,7.57077691,7.382960202,0.031702899,0.575269287,3,0.310044592,47.79502851,0.309134696,5.227089857,0.421452737,4,27,844.4619342,31682.9082,0.545839422,33159.13901,1.926446127,24.90865655,44.81604192,0.737340839,185.581499,35169.69419,0.064277587,0.027181394,56.02490246,17,5.853996846,254.8157773,0.735325848,2.162280182,0.494356418,167.1937864,0.810192713,0.497623603,6.949616733,374.1633133,3,0.945135334,0.615612112,29.24139737,589,1.805152433,160.8269452,1
