MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,target
1.911485824,37,0.434966057,1.828182885,6.514573265,1
1.911485824,570,0.366367315,1.828182885,6.514573265,1
1.911485824,677,0.440136564,1.828182885,10.90292493,1
1.911485824,609,0.471647004,1.828182885,10.90292493,1
1.911485824,705,0.435364379,1.828182885,10.90292493,1
1.911485824,675,0.469323614,1.828182885,10.90292493,1
1.911485824,631,0.475135457,1.828182885,10.90292493,1
1.911485824,699,0.443286752,1.828182885,10.90292493,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1
1.911485824,735,0.430071929,1.828182885,10.90292493,1
1.911485824,747.1111111,0.442395424,1.828182885,10.90292493,1
1.911485824,777,0.434702437,1.828182885,10.90292493,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1
1.911485824,775,0.495340525,1.828182885,10.90292493,1
1.911485824,682,0.485119358,1.828182885,10.90292493,1
1.911485824,675.6666667,0.423090031,1.828182885,10.90292493,1
1.911485824,777,0.464243217,1.828182885,10.90292493,1
1.911485824,616.3333333,0.47030378,1.828182885,10.90292493,1
1.911485824,675.8888889,0.456563082,1.828182885,10.90292493,1
1.911485824,699,0.457394109,1.828182885,22.16030442,1
1.911485824,635.6666667,0.461099759,1.828182885,21.47400012,1
1.911485824,724,0.474170878,1.828182885,10.90292493,1
1.911485824,684,0.459835321,1.828182885,10.90292493,1
1.911485824,784,0.481595844,1.828182885,10.90292493,1
1.911485824,782,0.508242427,1.828182885,10.90292493,1
1.911485824,731,0.449638239,1.828182885,22.29078092,1
3.54166336,194.6666667,0.429809598,3.54166336,10.90292493,1
3.240587444,916.6666667,0.384885504,2.957688315,6.514573265,1
3.050170777,1030.666667,0.374952412,2.751204495,6.514573265,1
3.285442886,944.6666667,0.393491772,3.067436963,6.514573265,1
3.193022251,674.6666667,0.388096272,2.935931496,6.514573265,1
3.218830625,726.3333333,0.388096272,2.945319726,6.514573265,1
3.050170777,951,0.410201542,2.657919796,6.514573265,0
3.188504111,930,0.371300011,2.879169796,6.514573265,0
3.303780314,1118,0.381523087,3.039916678,6.514573265,0
3.18467758,1066,0.368334317,2.732902004,6.514573265,1
3.129671202,1126.666667,0.371367347,2.420402004,6.514573265,1
3.18467758,1066,0.368334317,2.732902004,6.514573265,0
3.001281888,1044,0.385252541,2.60875313,6.514573265,1
3.056837444,1024,0.383412577,2.68875313,6.514573265,1
3.032987752,877,0.398002745,2.629140113,6.514573265,1
3.220667793,880.6666667,0.378895545,2.920310748,6.514573265,1
3.265523235,900.6666667,0.387848095,3.041977415,6.514573265,1
3.228133358,890.6666667,0.377080532,2.934925969,6.514573265,1
3.237393,1060,0.36792087,2.94875313,6.514573265,1
3.240374859,947,0.371213553,2.953058685,6.514573265,0
3.237393,1060,0.36792087,2.94875313,6.514573265,0
3.101998851,446.6666667,0.376753023,2.896414094,6.514573265,0
3.095026219,979,0.418530499,2.779586463,6.514573265,1
3.264467829,964,0.379848674,2.986947574,6.514573265,0
3.164059666,978,0.390822741,2.834169796,6.514573265,1
3.132948555,950,0.375141821,2.799169796,6.514573265,1
3.264680414,944.6666667,0.364792628,2.968861154,6.514573265,1
3.075065984,954.6666667,0.370658771,3.008938315,6.514573265,1
3.050170777,951,0.410201542,2.657919796,6.514573265,1
3.251724774,1084,0.368615551,2.966734989,6.514573265,0
3.00689239,787,0.349299297,3.00689239,6.514573265,0
3.254919218,976,0.372084359,2.976335329,6.514573265,0
2.568339052,874,0.355118039,2.568339052,33.64166196,1
2.691662433,880,0.341815084,2.691662433,33.64166196,1
1.911485824,197,0.35862772,1.828182885,6.514573265,0
1.911485824,176,0.370302905,1.828182885,6.514573265,0
1.911485824,570,0.366367315,1.828182885,6.514573265,1
3.762228836,132,0.538798156,3.762228836,6.514573265,0
3.332728175,194.4444444,0.38006779,3.332728175,10.90292493,1
3.840882464,284.1111111,0.433577183,3.840882464,10.90292493,1
3.86337711,269.1111111,0.444098248,3.86337711,10.90292493,1
3.442109788,72.55555556,0.433822774,3.442109788,10.90292493,0
3.448082607,161.5555556,0.392779847,3.002691936,10.90292493,1
