ABC,ABCGG,SpAbs_A,SpAD_A,LogEE_A,target
40.60975407,31.59896387,66.16055855,66.16055855,4.867613782,1
39.64467102,30.81698629,65.58549843,65.58549843,4.846584155,0
38.23045746,29.97966545,62.99706735,62.99706735,4.810115982,1
38.23045746,29.97966545,62.99706735,62.99706735,4.810115982,1
34.29780447,27.17050073,58.04294711,58.04294711,4.706867529,1
35.18325073,28.00226586,58.7942665,58.7942665,4.729138218,1
37.15474116,29.44362088,62.21027925,62.21027925,4.794785449,1
35.99974731,28.49038126,59.68264899,59.68264899,4.750947903,1
40.1329982,31.2787029,66.85390414,66.85390414,4.859107063,1
38.01167786,29.69702891,63.76863824,63.76863824,4.808458701,0
40.1329982,31.2787029,66.85390414,66.85390414,4.859107063,0
28.99762919,24.50942623,48.08751358,48.08751358,4.54573005,0
38.56895472,30.13190103,64.66035098,64.66035098,4.833609065,1
38.93756424,30.41566351,64.50517947,64.50517947,4.828515402,0
37.30457108,29.21355833,62.2948246,62.2948246,4.789681083,1
37.30457108,29.21355833,62.2948246,62.2948246,4.789681083,1
38.21852691,30.44571227,63.42774612,63.42774612,4.812095946,1
38.21852691,30.4639561,63.42411989,63.42411989,4.812097901,1
36.5974643,28.65904912,61.2463567,61.2463567,4.770542204,1
40.94949478,31.81105784,67.76186168,67.76186168,4.878283958,0
37.40203033,29.44276426,62.52726762,62.52726762,4.791622286,0
38.71878464,30.1328208,64.87196917,64.87196917,4.826890184,0
43.04535136,31.19947317,72.82478549,72.82478549,4.942252989,1
42.068697,31.24986138,69.89164697,69.89164697,4.916224324,1
14.49881459,11.70718296,23.94482265,23.94482265,3.8534127,0
15.20592137,12.07691038,25.36231732,25.36231732,3.900624199,0
23.8155689,19.77482241,39.91306846,39.91306846,4.364258912,1
16.44179545,12.49315242,25.7432403,25.7432403,3.973406962,0
19.14890223,15.23600907,32.37990943,32.37990943,4.140307811,1
21.24171301,17.32788123,36.88411486,36.88411486,4.251390111,1
22.65592657,18.03945287,39.19296756,39.19296756,4.314311138,1
13.46353841,10.8408851,23.02695418,23.02695418,3.794577283,0
19.22978246,14.78900342,32.95034096,32.95034096,4.145218789,1
19.12039266,14.21745581,33.19260744,33.19260744,4.141841445,1
19.82749944,14.53402499,34.55018828,34.55018828,4.177431267,1
19.12039266,15.12100114,33.1114647,33.1114647,4.145374416,1
19.82749944,15.44539285,34.4626339,34.4626339,4.180840921,1
20.53460623,15.76266393,35.66187146,35.66187146,4.215092519,1
21.24171301,16.07330843,37.00769109,37.00769109,4.248209694,1
24.78349807,20.36057195,39.86888285,39.86888285,4.384211353,1
13.9700473,12.96999278,22.37742927,22.37742927,3.825713227,1
19.54602132,16.36079774,31.88324951,31.88324951,4.155634962,0
13.73933715,12.6497563,22.25695727,22.25695727,3.816474976,0
24.82094616,20.502025,39.44753822,39.44753822,4.384197698,1
17.7061791,12.92336615,30.39034013,30.39034013,4.053219457,1
17.7061791,12.92336615,30.39034013,30.39034013,4.053219457,1
14.35632481,13.32001982,23.65624369,23.65624369,3.87080353,1
8.623180745,8.086503105,13.87816276,13.87816276,3.352605385,1
14.17064519,11.22621358,24.45018386,24.45018386,3.844579447,1
14.87775198,11.59940712,25.5904764,25.5904764,3.892200007,1
15.58485876,11.96179314,26.98943612,26.98943612,3.937655558,1
23.61032252,18.06068494,38.9058795,38.9058795,4.333794831,0
15.87258804,14.60814959,26.53101424,26.53101424,3.965073524,1
16.58404293,14.93575242,26.09264722,26.09264722,3.999657255,1
26.83600199,21.33238108,40.68586176,40.68586176,4.473658605,0
29.06671213,22.96842167,44.03304534,44.03304534,4.551020148,1
29.06671213,22.96842167,44.03304534,44.03304534,4.551020148,0
26.83600199,21.33238108,40.68586176,40.68586176,4.473658605,0
17.43663152,14.8249698,28.27306869,28.27306869,4.0355497,1
12.11827454,10.78863894,20.03843324,20.03843324,3.694167518,0
16.83767109,14.59600763,26.38188713,26.38188713,4.002617486,0
14.17064519,11.22621358,24.45018386,24.45018386,3.844579447,0
23.69585123,18.08253474,38.03780104,38.03780104,4.341899088,1
40.1329982,31.2787029,66.85390414,66.85390414,4.859107063,1
41.54721176,31.50855072,69.71141321,69.71141321,4.893248078,1
29.8307048,24.93087569,48.54261392,48.54261392,4.575096114,1
21.39530719,18.25606317,32.34087986,32.34087986,4.231942862,1
13.38265818,11.82137398,22.44332736,22.44332736,3.791481988,0
14.30854456,12.81127983,23.74793698,23.74793698,3.860658201,1
36.57330283,27.3728543,60.65982141,60.65982141,4.772864453,1
40.81594351,28.85507914,68.32250645,68.32250645,4.882309469,1
45.0585842,30.2222534,75.97432467,75.97432467,4.980949148,0
37.38979941,27.8722604,61.60518416,61.60518416,4.793725615,1
41.6324401,29.35513432,69.24666561,69.24666561,4.901028093,0
45.87508078,30.72108752,76.88618316,76.88618316,4.99792435,1
51.42006263,37.23529865,85.00041118,85.00041118,5.109014449,0
59.905344,40.23746757,100.3247597,100.3247597,5.261975853,1
64.14798469,41.5858251,108.1147914,108.1147914,5.330492618,1
68.39062538,42.85811687,115.6279398,115.6279398,5.394614359,1
32.88074907,24.18267395,54.26029766,54.26029766,4.663520148,0
29.42609539,22.21927836,48.5047766,48.5047766,4.553028765,0
27.9310016,21.63425006,45.80363973,45.80363973,4.506516806,0
34.26645306,25.36909126,57.0510521,57.0510521,4.703500194,0
40.80271068,30.3234771,68.08783971,68.08783971,4.889442884,1
41.57876714,30.99505251,69.16052916,69.16052916,4.908105698,1
42.7742011,31.59312715,71.38983001,71.38983001,4.936417328,1
26.80939119,21.22639208,41.15802997,41.15802997,4.470899063,0
36.87201959,28.11367862,58.98967696,58.98967696,4.772901875,1
24.71155636,19.86468504,39.96805339,39.96805339,4.38047061,1
24.00444958,19.98613508,38.4544946,38.4544946,4.352571295,1
24.82094616,20.502025,39.44753822,39.44753822,4.384197698,1
28.87600846,23.23932417,47.58845464,47.58845464,4.53583437,1
28.87600846,23.23932417,47.58845464,47.58845464,4.53583437,1
28.16890168,22.66402557,46.37568038,46.37568038,4.511279221,1
14.97521123,13.22173757,24.26141483,24.26141483,3.898364004,1
13.89985417,11.93433196,21.9527463,21.9527463,3.810796657,1
14.71635075,12.84688851,22.97094281,22.97094281,3.8644932,0
12.22766434,11.11491379,20.14722688,20.14722688,3.699344626,1
23.07995255,18.93471891,38.88208515,38.88208515,4.331746976,1
30.97805813,25.1007081,50.27388646,50.27388646,4.605167651,1
14.97521123,13.12842415,24.39098459,24.39098459,3.92410127,1
35.31990666,26.66521741,57.20113063,57.20113063,4.72964464,1
35.31990666,26.66521741,57.20113063,57.20113063,4.72964464,1
57.95483245,48.97666482,84.16647198,84.16647198,5.218219918,1
13.73933715,12.6497563,22.25695727,22.25695727,3.816474976,0
30.14963101,22.12426739,49.36974999,49.36974999,4.580678446,1
14.48688405,13.13178978,23.11031408,23.11031408,3.865138389,0
13.71082758,12.26884794,22.24016744,22.24016744,3.8112497,1
15.71082758,14.05740615,25.39762816,25.39762816,3.948130109,0
21.60659647,18.66634217,32.27715931,32.27715931,4.241401971,0
